timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio
1769160622.7107975,12,79,0.1608,12,0.27,2.97
1769160622.7924483,1,0,0.8727,223,7.51,1.69
1769160622.792848,12,79,0.1336,13,4.93,2.89
1769160622.8327105,1,0,0.8727,224,0.8,1.69
1769160622.8330991,12,79,0.1336,14,0.44,2.88
1769160622.9168003,1,0,0.8532,225,22.95,1.54
1769160622.9171784,31,0,0.3122,0,0.0,0.9
1769160622.9970658,1,0,0.8483,226,6.54,1.51
1769160622.9974775,31,0,0.2444,1,1.93,0.9
1769160623.0349307,1,0,0.8483,227,0.53,1.51
1769160623.0353236,31,0,0.2444,2,0.12,0.9
1769160623.1184878,1,0,0.8505,228,41.02,1.78
1769160623.2024467,1,0,0.8494,229,3.65,1.8
1769160623.2028618,33,67,0.376,0,0.0,0.53
1769160623.241238,1,0,0.8494,230,0.27,1.81
1769160623.2416189,33,67,0.376,1,0.26,0.52
1769160623.3194504,1,0,0.8626,231,5.43,1.82
1769160623.3198636,33,67,0.1421,2,2.23,0.56
1769160623.3574772,1,0,0.8626,232,0.23,1.82
1769160623.3578644,33,67,0.1421,3,0.13,0.56
1769160623.4357514,1,0,0.8569,233,1.27,1.82
1769160623.4361575,33,67,0.2008,4,3.08,0.57
1769160623.4742796,1,0,0.8569,234,0.14,1.82
1769160623.4746945,33,67,0.2008,5,0.26,0.57
1769160623.551511,1,0,0.8764,235,0.27,1.82
1769160623.551899,33,67,0.1987,6,1.49,0.57
1769160623.5879536,1,0,0.8764,236,0.04,1.82
1769160623.5884635,33,67,0.1987,7,0.09,0.57
1769160623.6694207,1,0,0.8655,237,0.32,1.82
1769160623.669886,33,76,0.1708,8,3.66,0.6
1769160623.7065108,1,0,0.8655,238,0.08,1.81
1769160623.706918,33,76,0.1708,9,0.24,0.61
1769160623.787106,1,0,0.8655,239,33.74,1.61
1769160623.7875326,33,76,0.1561,10,4.8,0.63
1769160623.823053,1,0,0.8655,240,3.25,1.59
1769160623.8234618,33,76,0.1561,11,0.4,0.63
1769160623.9030707,1,0,0.8605,241,29.09,1.78
1769160623.9035623,33,76,0.1384,12,12.19,0.58
1769160623.9417596,1,0,0.8605,242,3.06,1.8
1769160623.9422212,33,76,0.1384,13,1.06,0.57
1769160624.0165408,1,0,0.8557,243,5.83,1.81
1769160624.016917,33,76,0.1274,14,0.1,0.57
1769160624.055528,1,0,0.8557,244,0.55,1.81
1769160624.055937,33,76,0.1274,15,0.11,0.57
1769160624.1370227,1,0,0.884,245,4.59,1.79
1769160624.2232776,1,0,0.8468,246,14.02,1.71
1769160624.2237206,34,0,0.429,0,0.0,0.95
1769160624.3075886,1,0,0.8696,247,20.76,1.6
1769160624.3080392,34,0,0.3105,1,4.25,0.9
1769160624.3465822,1,0,0.8696,248,1.92,1.59
1769160624.3469756,34,0,0.3105,2,0.21,0.9
1769160624.427111,1,0,0.8769,249,12.22,1.65
1769160624.4274833,34,0,0.6222,3,3.29,0.86
1769160624.4640706,1,0,0.8769,250,1.35,1.66
1769160624.4644873,34,0,0.6222,4,0.22,0.86
1769160624.5445418,1,0,0.8771,251,5.44,1.65
1769160624.5449114,34,0,0.5274,5,2.89,0.86
1769160624.583579,1,0,0.8771,252,0.54,1.65
1769160624.5839958,34,0,0.5274,6,0.16,0.86
1769160624.6648774,1,0,0.865,253,2.18,1.63
1769160624.6652503,34,0,0.4889,7,2.53,0.89
1769160624.7049625,1,0,0.865,254,0.15,1.63
1769160624.7053883,34,0,0.4889,8,0.15,0.89
1769160624.7880063,1,0,0.8752,255,3.08,1.64
1769160624.7884295,34,0,0.4435,9,0.86,0.9
1769160624.8274274,1,0,0.8752,256,0.41,1.65
1769160624.827824,34,0,0.4435,10,0.14,0.9
1769160624.909813,1,0,0.8763,257,4.5,1.63
1769160624.9102023,34,0,0.4683,11,0.93,0.89
1769160624.948074,1,0,0.8763,258,0.43,1.63
1769160624.9485054,34,0,0.4683,12,0.04,0.89
1769160625.0328736,1,0,0.8747,259,1.94,1.59
1769160625.0332694,34,0,0.4488,13,0.44,0.89
1769160625.0726972,1,0,0.8747,260,0.18,1.59
1769160625.073142,34,0,0.4488,14,0.03,0.89
1769160625.1574175,1,0,0.881,261,4.93,1.63
1769160625.1577642,34,0,0.5222,15,0.14,0.89
1769160625.1580226,38,79,0.3014,0,0.0,5.35
1769160625.1968348,1,0,0.881,262,0.52,1.63
1769160625.1972659,34,0,0.5222,16,0.02,0.89
1769160625.1976235,38,79,0.3014,1,0.0,5.35
1769160625.2815897,1,0,0.8918,263,4.23,1.65
1769160625.2820313,34,0,0.3139,17,1.31,0.91
1769160625.2824345,38,79,0.2533,2,1.43,5.51
1769160625.319818,1,0,0.8918,264,0.44,1.66
1769160625.320196,34,0,0.3139,18,0.09,0.91
1769160625.3204596,38,79,0.2533,3,0.05,5.51
1769160625.3589976,1,0,0.8918,265,0.15,1.66
1769160625.3594124,34,0,0.3139,19,0.03,0.91
1769160625.3596928,38,79,0.2533,4,0.01,5.51
1769160625.4418921,1,0,0.875,266,6.31,1.62
1769160625.4423199,34,0,0.4342,20,1.69,0.92
1769160625.4426253,38,44,0.1723,5,9.73,5.82
1769160625.4791405,1,0,0.875,267,0.68,1.62
1769160625.4795153,34,0,0.4342,21,0.02,0.92
1769160625.4797697,38,44,0.1723,6,0.91,5.84
1769160625.5171072,1,0,0.875,268,0.24,1.62
1769160625.5175035,34,0,0.4342,22,0.01,0.92
1769160625.5177667,38,44,0.1723,7,0.28,5.85
1769160625.5975854,1,0,0.8536,269,8.06,1.65
1769160625.5979831,34,0,0.1526,23,1.53,0.94
