timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio,is_real
1770809561.5485778,3,56,0.8257,184,2.34,0.69,1
1770809561.5986176,1,0,0.9083,186,2.13,1.5,1
1770809562,3,56,0.7864,186,3.79,0.69,1
1770809561.652725,1,0,0.8931,188,1.04,1.5,1
1770809561.6527672,3,56,0.7607,188,0.32,0.69,1
1770809561.7049725,1,0,0.9143,190,0.45,1.49,1
1770809561.705023,3,56,0.7777,190,1.36,0.68,1
1770809561.759918,1,0,0.9057,192,2.05,1.47,1
1770809561.7599702,3,56,0.8187,192,2.83,0.68,1
1770809562,1,0,0.9123,194,2.6,1.48,1
1770809561.8178196,3,56,0.7771,194,4.4,0.7,1
1770809561.8726518,1,0,0.9173,196,1.71,1.47,1
1770809561.8726938,3,56,0.8072,196,1.69,0.69,1
1770809561.9245756,1,0,0.8988,198,0.88,1.47,1
1770809561.9246278,3,56,0.8161,198,4.39,0.65,1
1770809561.974426,1,0,0.9189,200,0.6,1.47,1
1770809561.9744697,3,56,0.8264,200,3.9,0.69,1
1770809562.025796,1,0,0.9182,202,1.4,1.47,1
1770809562.0258396,3,56,0.7804,202,2.19,0.71,1
1770809562,1,0,0.9123,204,1.86,1.46,1
1770809562.073542,3,56,0.8289,204,1.87,0.7,1
1770809562.1262226,1,0,0.9136,206,0.46,1.47,1
1770809562.1262655,3,56,0.7892,206,0.69,0.69,1
1770809562.176771,1,0,0.9045,208,2.24,1.47,1
1770809562.1768131,3,56,0.8314,208,1.61,0.71,1
1770809562.2314382,1,0,0.9138,210,2.09,1.48,1
1770809562.2314906,3,56,0.787,210,1.78,0.72,1
1770809562.2878106,1,0,0.9007,212,2.59,1.49,1
1770809562.2878597,3,56,0.8162,212,0.96,0.71,1
1770809562.3410192,1,0,0.9117,214,0.36,1.49,1
1770809562.3410623,3,56,0.6846,214,2.22,0.69,1
1770809562.3929842,1,0,0.9064,216,1.87,1.49,1
1770809562.393026,3,56,0.8711,216,0.33,0.69,1
1770809562.4456587,1,0,0.9115,218,1.29,1.5,1
1770809562.4457085,3,56,0.7298,218,2.18,0.68,1
1770809562.4941566,1,0,0.9038,220,2.66,1.49,1
1770809562.494197,3,56,0.8811,220,2.64,0.7,1
1770809562.5412908,1,0,0.9047,222,4.2,1.5,1
1770809562.5413432,3,56,0.8199,222,1.49,0.7,1
1770809562.594236,1,0,0.9169,224,1.89,1.51,1
1770809562.5942874,3,56,0.8093,224,1.77,0.7,1
1770809562.646639,1,0,0.9027,226,3.93,1.5,1
1770809562.6466944,3,56,0.8607,226,1.03,0.7,1
1770809562.6977358,1,0,0.9033,228,1.05,1.5,1
1770809562.6977787,3,56,0.795,228,3.32,0.72,1
1770809562.744289,1,0,0.9034,230,3.17,1.5,1
1770809562.7443302,3,56,0.8116,230,0.42,0.72,1
1770809562.7916324,1,0,0.9132,232,4.63,1.48,1
1770809562.791675,3,56,0.8863,232,1.21,0.71,1
1770809562.8436284,1,0,0.9156,234,0.3,1.47,1
1770809562.8436697,3,56,0.8031,234,1.29,0.71,1
1770809562.8969786,1,0,0.9071,236,1.05,1.47,1
1770809562.8970337,3,56,0.7737,236,3.51,0.66,1
1770809562.9476857,1,0,0.911,238,1.26,1.49,1
1770809562.9477403,3,56,0.7797,238,1.47,0.67,1
1770809563.0037465,1,0,0.9122,240,0.96,1.49,1
1770809563.003799,3,56,0.8133,240,0.54,0.68,1
1770809563.0568988,1,0,0.9066,242,0.53,1.49,1
1770809563.0569415,3,56,0.8002,242,2.16,0.69,1
1770809563.1096754,1,0,0.9082,244,2.68,1.48,1
1770809563.1097157,3,56,0.7999,244,0.25,0.7,1
1770809563.161934,1,0,0.9052,246,0.39,1.48,1
1770809563.1619763,3,56,0.7753,246,0.87,0.69,1
1770809563.212221,1,0,0.9042,248,2.51,1.48,1
1770809563.212262,3,56,0.8508,248,0.55,0.69,1
1770809563.264743,1,0,0.8937,250,1.19,1.48,1
1770809563.2647948,3,56,0.8374,250,1.91,0.71,1
1770809563.3229792,1,0,0.9106,252,0.47,1.48,1
1770809563.3230293,3,56,0.8395,252,1.16,0.72,1
1770809563.3739622,1,0,0.9047,254,1.4,1.48,1
1770809563.3740118,3,56,0.8509,254,1.03,0.71,1
1770809563.4278505,1,0,0.904,256,1.78,1.48,1
1770809563.4279022,3,56,0.8145,256,1.1,0.71,1
1770809563.4828043,1,0,0.9087,258,1.12,1.47,1
1770809563.4828544,3,56,0.8153,258,2.01,0.68,1
1770809563.5329554,1,0,0.9051,260,1.54,1.47,1
1770809563.5329988,3,56,0.7788,260,2.47,0.7,1
1770809563.584687,1,0,0.9156,262,0.9,1.47,1
1770809563.584733,3,56,0.8417,262,2.36,0.7,1
1770809563.634225,1,0,0.9151,264,1.1,1.47,1
1770809563.6342683,3,56,0.784,264,2.76,0.66,1
1770809563.6811972,1,0,0.9023,266,1.25,1.47,1
1770809563.6812391,3,56,0.818,266,1.66,0.66,1
1770809563.7311654,1,0,0.9123,268,0.34,1.48,1
1770809563.7312157,3,56,0.7185,268,2.61,0.65,1
1770809563.784957,1,0,0.9093,270,0.45,1.48,1
1770809563.785007,3,56,0.8391,270,3.05,0.68,1
1770809563.8322537,1,0,0.9133,272,1.21,1.48,1
1770809563.8322935,3,56,0.7571,272,2.26,0.71,1
1770809563.8843284,1,0,0.9016,274,0.57,1.47,1
1770809563.884373,3,56,0.8691,274,3.13,0.74,1
1770809563.938964,1,0,0.9145,276,1.79,1.48,1
1770809563.9390197,3,56,0.8252,276,0.17,0.74,1
1770809563.993303,1,0,0.9171,278,0.51,1.49,1
1770809563.9933531,3,56,0.8118,278,2.21,0.71,1
1770809564.0461235,1,0,0.9109,280,3.31,1.47,1
1770809564.0461776,3,56,0.7921,280,0.56,0.71,1
1770809564.0988474,1,0,0.9056,282,1.95,1.47,1
1770809564.0988967,3,56,0.8218,282,1.81,0.69,1
1770809564.1540697,1,0,0.914,284,2.85,1.47,1
1770809564.154122,3,56,0.8648,284,2.1,0.71,1
1770809564.2033992,1,0,0.9092,286,1.65,1.47,1
1770809564.203441,3,56,0.8578,286,0.36,0.72,1
1770809564.2577183,1,0,0.9162,288,1.55,1.48,1
1770809564.2577696,3,56,0.7903,288,2.09,0.69,1
1770809564.309588,1,0,0.897,290,1.99,1.49,1
1770809564.3096292,3,56,0.733,290,1.12,0.69,1
1770809564.3570745,1,0,0.8976,292,0.54,1.5,1
1770809564.3571186,3,56,0.7086,292,1.59,0.68,1
1770809564.4102802,1,0,0.9049,294,3.68,1.49,1
1770809564.4103217,3,56,0.876,294,3.07,0.71,1
1770809564.4632945,1,0,0.9048,296,0.49,1.49,1
1770809564.463337,3,56,0.7595,296,0.85,0.7,1
1770809564.5100992,1,0,0.8976,298,3.16,1.46,1
1770809564.5101514,3,56,0.8134,298,0.88,0.69,1
1770809564.5609963,1,0,0.8896,300,1.6,1.47,1
1770809564.5610385,3,56,0.8049,300,0.84,0.69,1
1770809564.6200233,1,0,0.8677,302,3.95,1.49,1
1770809564.6200674,3,56,0.7624,302,1.05,0.69,1
1770809564.6695902,1,0,0.7931,304,6.76,1.44,1
1770809564.6696315,3,56,0.7808,304,0.57,0.68,1
1770809564.7253892,1,0,0.8512,306,5.23,1.47,1
1770809564.725438,3,56,0.7857,306,0.81,0.69,1
1770809565,1,0,0.9013,308,4,1.51,1
1770809564.7805722,3,56,0.8121,308,1.39,0.69,1
1770809564.834191,1,0,0.8922,310,0.61,1.51,1
1770809564.834241,3,56,0.6401,310,3.28,0.71,1
1770809564.8921494,1,0,0.9016,312,0.53,1.51,1
1770809564.892192,3,56,0.7702,312,3.2,0.67,1
1770809564.9441426,1,0,0.8871,314,0.91,1.5,1
1770809564.9441862,3,56,0.7626,314,0.72,0.68,1
1770809564.9918735,1,0,0.8984,316,2.65,1.5,1
1770809564.9919145,3,56,0.5279,316,3.12,0.7,1
1770809565.0443242,1,0,0.9104,318,0.31,1.51,1
1770809565.0443676,3,56,0.7142,318,2.97,0.68,1
1770809565.099003,1,0,0.9152,320,0.06,1.51,1
1770809565.0990455,3,56,0.6254,320,0.46,0.67,1
1770809565.150021,1,0,0.8919,322,0.13,1.51,1
1770809565.1500754,3,56,0.7879,322,1.62,0.69,1
1770809565.1957955,1,0,0.8843,324,0.73,1.51,1
1770809565.1958392,3,56,0.5144,324,1.79,0.7,1
1770809565.2468102,1,0,0.9025,326,0.71,1.5,1
1770809565.246864,3,56,0.6656,326,0.56,0.71,1
1770809565.2951136,1,0,0.901,328,1.32,1.5,1
1770809565.2951565,3,56,0.5445,328,1.1,0.7,1
1770809565.3455873,1,0,0.9083,330,2.68,1.5,1
1770809565.3456366,3,56,0.6416,330,0.4,0.7,1
1770809565.3977425,1,0,0.6678,332,27.88,1.33,1
1770809565.3977845,3,56,0.7407,332,1.22,0.7,1
1770809565.4515338,1,0,0.9072,334,22.81,1.44,1
1770809565.4515758,3,56,0.738,334,0.4,0.69,1
1770809565.501201,1,0,0.8859,336,6.1,1.47,1
1770809565.501242,3,56,0.761,336,0.05,0.69,1
1770809565.5542943,1,0,0.8868,338,4.55,1.48,1
1770809565.554343,3,56,0.7945,338,0.86,0.7,1
1770809565.6073186,1,0,0.8359,340,1.7,1.49,1
1770809565.6073706,3,56,0.8071,340,1.52,0.69,1
1770809565.6599038,1,0,0.877,342,1.66,1.49,1
1770809565.6599562,3,56,0.755,342,1.42,0.68,1
1770809565.7151313,1,0,0.8599,344,0.29,1.49,1
1770809565.715183,3,56,0.8254,344,2.19,0.69,1
1770809565.762985,1,0,0.8537,346,2.47,1.48,1
1770809565.7630272,3,56,0.7996,346,3.11,0.67,1
1770809565.8107038,1,0,0.8786,348,3.61,1.49,1
1770809565.8107452,3,56,0.6484,348,3.97,0.7,1
1770809565.861428,1,0,0.8699,350,2.16,1.5,1
1770809565.861478,3,56,0.6019,350,0.29,0.69,1
1770809565.9143498,1,0,0.8753,352,0.77,1.51,1
1770809565.914401,3,56,0.7756,352,2.29,0.67,1
1770809565.9650395,1,0,0.8231,354,0.7,1.51,1
1770809565.965081,3,56,0.756,354,1.81,0.66,1
1770809566.0203896,1,0,0.8934,356,0.94,1.51,1
1770809566.0204413,3,56,0.7664,356,0.76,0.67,1
1770809566.075971,1,0,0.9085,358,0.43,1.5,1
1770809566.0760214,3,56,0.667,358,0.95,0.66,1
1770809566.127915,1,0,0.895,360,1.35,1.51,1
1770809566.1279645,3,56,0.7837,360,4.94,0.71,1
1770809566.1785457,1,0,0.9143,362,1.75,1.5,1
1770809566.1785889,3,56,0.7643,362,0.67,0.71,1
1770809566.2313051,1,0,0.9046,364,1.05,1.49,1
1770809566.2313485,3,56,0.8016,364,1.64,0.69,1
1770809566.285045,1,0,0.9091,366,1.87,1.51,1
1770809566.285099,3,56,0.8173,366,0.8,0.71,1
1770809566.3391786,1,0,0.8916,368,0.86,1.5,1
1770809566.3392253,3,56,0.7817,368,0.22,0.71,1
1770809566.3875291,1,0,0.9028,370,0.8,1.5,1
1770809566.3875723,3,56,0.7132,370,3.13,0.69,1
1770809566.4392638,1,0,0.9059,372,1.01,1.5,1
1770809566.439306,3,56,0.6841,372,1.7,0.68,1
1770809566.4913096,1,0,0.8732,374,2.69,1.5,1
1770809566.4913518,3,56,0.6952,374,0.84,0.67,1
1770809566.541741,1,0,0.8599,376,1.17,1.51,1
1770809566.541783,3,56,0.7265,376,1.77,0.69,1
1770809566.5922902,1,0,0.8835,378,0.81,1.51,1
1770809566.5923388,3,56,0.7931,378,0.62,0.67,1
1770809566.6447823,1,0,0.8765,380,2.16,1.5,1
1770809566.644828,3,56,0.6256,380,0.73,0.67,1
1770809566.697654,1,0,0.8385,382,2.6,1.49,1
1770809566.697696,3,56,0.7341,382,1.52,0.69,1
1770809566.7491326,1,0,0.8635,384,0.52,1.5,1
1770809566.7491834,3,56,0.7692,384,0.5,0.69,1
1770809566.7986252,1,0,0.8667,386,0.66,1.5,1
1770809566.7986724,3,56,0.802,386,0.99,0.68,1
1770809566.845296,1,0,0.8592,388,1.3,1.49,1
1770809566.8453465,3,56,0.7894,388,1.35,0.67,1
1770809566.8960326,1,0,0.8568,390,0.36,1.5,1
1770809566.8960762,3,56,0.7374,390,1.24,0.68,1
1770809566.9480803,1,0,0.8691,392,2.7,1.48,1
1770809566.9481316,3,56,0.8367,392,1.4,0.7,1
1770809567.000744,1,0,0.8742,394,1.76,1.48,1
1770809567.0007873,3,56,0.7634,394,3.85,0.66,1
1770809567.0487204,1,0,0.8722,396,4.74,1.47,1
1770809567.0487716,3,56,0.7909,396,0.97,0.65,1
1770809567.1039555,1,0,0.8499,398,2.27,1.49,1
1770809567.1040056,3,56,0.8237,398,0.4,0.66,1
1770809567.1548362,1,0,0.8418,400,1.44,1.48,1
1770809567.1548774,3,56,0.7202,400,3.24,0.69,1
1770809567.207936,1,0,0.8311,402,3.04,1.49,1
1770809567.207988,3,56,0.7292,402,1.35,0.7,1
1770809567.2558756,1,0,0.8362,404,1.3,1.49,1
1770809567.2559192,3,56,0.721,404,0.71,0.69,1
1770809567.3042958,1,0,0.7924,406,2.95,1.5,1
1770809567.3043396,3,56,0.7864,406,3.05,0.68,1
1770809567.3538115,1,0,0.8518,408,3.86,1.49,1
1770809567.3538566,3,56,0.8017,408,0.75,0.68,1
1770809567.4285114,1,0,0.8768,410,1.58,1.49,1
1770809567.4285626,3,56,0.7474,410,2.21,0.69,1
1770809567.4801586,1,0,0.8768,412,0.5,1.49,1
1770809567.4802015,3,56,0.7474,412,0.97,0.7,1
1770809567.530486,1,0,0.876,414,0.37,1.49,1
1770809567.5305362,3,56,0.799,414,0.19,0.71,1
1770809567.5864713,1,0,0.8698,416,1.8,1.47,1
1770809567.5865226,3,56,0.7842,416,0.08,0.71,1
1770809567.6425087,1,0,0.9187,418,2.71,1.49,1
1770809567.642561,3,56,0.7683,418,2.57,0.68,1
1770809567.6979742,1,0,0.8683,420,0.54,1.49,1
1770809567.6980276,3,56,0.8521,420,1.74,0.7,1
1770809567.7485356,1,0,0.9254,422,1.34,1.49,1
1770809567.7485783,3,56,0.7428,422,0.42,0.7,1
1770809567.7977526,1,0,0.9164,424,3.02,1.47,1
1770809567.7978022,3,56,0.8116,424,2.7,0.67,1
1770809567.849318,1,0,0.8776,426,2.26,1.46,1
1770809567.849362,3,56,0.8316,426,2.6,0.69,1
